ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
2907,20,8,2024,38,L,197,3,14,10000
964,18,10,2024,43,P,658,11,9,40000
874,11,1,2023,32,L,987,11,10,50000
3306,12,10,2023,33,P,816,2,14,30000
6556,30,3,2024,25,L,659,2,3,40000
1497,28,5,2022,36,P,122,7,12,30000
8684,15,10,2023,38,L,725,6,1,10000
2327,28,8,2024,41,P,766,12,14,50000
6100,6,6,2022,54,P,860,20,14,40000
178,17,8,2022,76,L,906,11,7,10000
1698,16,8,2022,71,P,571,17,5,20000
6655,1,11,2023,62,L,926,5,3,50000
4761,21,12,2024,61,L,739,19,14,10000
8679,11,8,2023,53,P,726,4,4,20000
9862,16,9,2023,69,L,458,14,7,30000
5229,2,3,2023,78,L,537,9,6,10000
3053,12,4,2022,30,P,674,3,13,20000
6884,17,12,2024,50,P,802,12,4,10000
6631,30,10,2024,28,P,450,19,6,40000
7555,30,8,2022,77,P,190,12,2,30000
5359,8,8,2022,47,P,712,5,9,30000
4123,30,5,2023,22,P,511,19,9,30000
1067,28,3,2024,57,L,945,1,1,30000
4726,9,5,2022,21,L,914,9,2,30000
4239,10,12,2023,58,P,689,2,8,40000
7774,16,9,2022,50,L,448,14,6,40000
3318,20,1,2023,70,P,780,5,7,30000
904,6,9,2024,66,P,459,15,11,10000
9765,21,3,2022,23,L,159,2,5,10000
5795,31,8,2024,66,L,673,20,10,40000
4655,15,9,2023,68,P,972,1,10,30000
7914,11,3,2023,55,L,327,15,4,40000
8712,2,1,2023,72,L,372,14,2,50000
5501,17,7,2024,23,P,114,7,7,30000
3810,8,10,2024,34,P,772,8,1,20000
7768,31,12,2024,35,L,625,11,11,10000
6276,7,12,2022,79,P,854,5,7,30000
53,20,6,2022,48,P,11,11,1,40000
8343,24,1,2023,28,L,491,13,11,30000
9621,13,8,2024,31,L,203,20,2,40000
3048,12,8,2022,58,L,166,16,12,10000
4825,19,9,2022,22,L,117,12,6,30000
2098,12,2,2023,30,P,296,17,3,10000
3629,31,5,2023,60,P,817,14,12,50000
7513,1,6,2022,50,P,628,20,2,30000
7532,9,11,2024,26,P,673,16,5,20000
1756,19,4,2022,77,P,414,13,3,50000
168,9,6,2024,66,P,280,1,8,10000
5060,3,7,2023,27,L,247,1,4,40000
7290,13,10,2024,66,P,707,9,5,10000
7918,18,1,2024,26,P,204,1,10,20000
9193,2,10,2023,63,P,417,18,13,40000
7808,15,7,2024,59,P,664,7,13,30000
1999,9,12,2022,23,L,850,12,4,30000
4468,6,10,2022,54,L,872,8,4,10000
8253,3,5,2024,21,L,907,19,2,10000
4502,27,5,2022,44,P,91,13,12,40000
3826,7,4,2023,55,P,242,10,2,10000
9322,9,1,2024,22,P,269,18,11,20000
814,1,8,2022,41,L,117,15,9,20000
2975,10,4,2023,29,L,755,9,12,40000
9158,25,12,2023,77,L,454,19,3,50000
6531,25,5,2024,80,L,72,13,3,30000
1693,21,8,2022,52,L,288,7,3,50000
5831,25,12,2022,47,L,211,11,5,40000
3908,5,9,2023,23,P,97,17,9,50000
2228,3,2,2023,71,L,430,11,7,40000
7505,4,3,2022,69,L,679,3,11,20000
899,30,3,2023,22,L,417,8,13,50000
56,3,3,2022,25,P,842,4,4,30000
6373,26,4,2022,70,L,86,4,6,10000
346,19,7,2022,77,P,440,15,4,10000
1146,12,2,2022,78,P,306,5,5,40000
4733,28,4,2023,79,L,127,5,1,50000
507,19,7,2024,74,L,555,9,12,50000
3236,20,5,2024,33,P,728,2,10,10000
5758,22,11,2024,50,P,748,5,12,20000
8314,15,11,2023,26,P,507,18,6,30000
7648,14,10,2024,57,P,487,10,14,30000
6976,12,2,2023,30,P,265,6,6,30000
3806,3,2,2022,60,P,237,7,5,50000
1813,8,9,2022,73,L,684,11,7,50000
9916,24,4,2022,59,P,429,18,14,10000
834,1,8,2023,49,L,183,15,10,50000
595,15,11,2024,41,P,486,20,11,40000
9774,22,6,2024,40,P,452,10,2,10000
6947,19,2,2022,68,L,940,13,8,30000
3113,18,8,2024,23,P,642,10,1,50000
7779,17,10,2024,76,L,264,2,5,30000
2443,25,12,2023,57,L,351,12,10,40000
6452,31,5,2023,54,P,30,1,2,20000
3325,13,6,2024,62,L,935,5,9,40000
4869,7,12,2022,34,P,413,20,8,30000
5497,18,4,2023,26,L,103,6,10,50000
6779,30,8,2022,66,L,85,9,8,40000
5303,22,2,2022,67,P,373,12,3,30000
5517,13,12,2023,77,L,556,8,4,50000
5582,9,10,2023,29,P,284,18,1,50000
2212,15,8,2024,80,P,116,8,13,30000
8701,10,2,2023,55,L,287,3,3,30000
5676,15,12,2023,25,P,483,10,14,10000
9576,31,10,2022,41,P,992,20,11,30000
9685,19,11,2023,22,P,654,12,5,10000
20,3,9,2023,51,P,705,15,13,10000
127,25,7,2022,24,P,85,6,12,20000
7456,27,3,2024,33,L,600,1,9,10000
9320,2,6,2022,44,L,545,7,13,10000
1737,13,1,2024,53,P,535,17,2,10000
776,16,4,2023,59,P,365,9,10,40000
9443,14,1,2023,50,L,105,17,14,20000
4262,8,1,2023,40,L,902,15,5,10000
3734,5,5,2023,36,P,718,20,5,20000
5470,2,3,2022,77,P,574,14,3,40000
2393,27,11,2022,63,L,502,14,11,40000
6120,16,7,2024,50,P,436,15,12,50000
5057,19,10,2023,75,L,55,6,4,30000
7160,27,6,2023,23,L,585,15,6,10000
3165,30,8,2022,35,L,815,3,11,10000
6609,9,2,2023,58,L,322,3,8,40000
8145,16,11,2024,31,P,297,14,9,10000
3761,30,3,2024,25,L,413,1,8,30000
7017,15,5,2023,36,L,948,1,5,50000
8447,9,12,2024,31,P,128,2,10,50000
9720,20,1,2024,31,P,720,19,2,40000
6107,5,9,2023,65,P,339,6,11,10000
5459,20,5,2023,55,L,189,1,12,20000
688,9,8,2022,67,P,799,13,12,30000
4241,23,3,2023,64,P,676,20,3,40000
107,15,6,2023,56,P,68,5,13,10000
1797,15,12,2022,63,L,891,11,2,20000
8750,22,2,2022,41,L,782,19,1,10000
8585,26,8,2022,65,L,279,10,4,30000
6764,17,12,2023,27,P,442,6,8,50000
2815,2,6,2022,45,L,611,13,14,10000
5997,14,1,2023,22,P,660,9,5,50000
7213,24,10,2024,76,P,70,9,5,30000
775,17,4,2024,47,L,181,15,12,40000
7378,22,9,2024,33,P,629,14,5,20000
9010,27,11,2024,73,L,621,3,4,20000
7924,2,12,2022,47,P,208,12,1,50000
1031,29,10,2023,22,P,144,11,1,40000
6758,30,6,2023,41,P,922,16,4,20000
3579,13,9,2024,22,L,391,17,7,50000
2632,30,8,2024,50,L,119,10,10,50000
446,21,3,2024,50,L,267,11,5,10000
5183,7,10,2023,27,P,484,16,5,50000
6057,20,4,2023,70,L,967,1,11,20000
3567,10,8,2023,72,P,649,13,5,40000
8840,11,4,2024,55,P,811,13,3,40000
7967,15,4,2023,72,L,600,6,10,10000
4440,1,7,2023,63,P,500,7,6,50000
644,24,9,2024,65,P,575,19,12,20000
5476,18,7,2023,37,P,637,13,2,50000
6388,24,2,2023,59,L,682,8,4,10000
7761,22,12,2024,37,L,469,9,10,10000
1853,28,4,2022,63,P,262,8,3,30000
9259,24,10,2023,54,P,29,2,9,40000
9478,10,2,2023,21,L,107,6,5,10000
2796,23,9,2024,39,L,108,12,5,30000
4585,3,1,2023,23,P,107,12,14,20000
8571,5,7,2022,68,P,441,20,9,40000
9457,15,1,2022,24,L,830,11,14,40000
703,18,1,2023,79,L,560,11,3,30000
8808,6,11,2024,22,L,13,4,6,40000
1036,12,7,2024,67,P,873,7,5,10000
4950,5,12,2024,26,P,852,9,14,20000
688,18,6,2022,22,L,350,3,13,40000
5686,7,10,2023,53,L,659,13,5,20000
2854,11,4,2024,76,L,326,7,10,10000
6638,7,12,2024,32,P,56,16,6,40000
1089,6,1,2023,55,L,352,10,14,30000
167,16,9,2024,35,P,688,4,3,40000
6491,1,3,2023,66,P,498,19,10,30000
2887,25,2,2024,35,P,805,6,2,10000
1565,12,8,2023,78,P,794,14,11,10000
8002,4,7,2024,46,L,985,18,8,10000
399,10,10,2023,63,P,740,9,14,30000
7104,10,9,2023,32,L,478,15,12,40000
2954,26,5,2023,73,L,506,19,9,10000
9174,11,4,2023,31,L,159,4,6,10000
2812,4,10,2024,53,P,481,17,4,20000
8290,19,5,2024,51,P,999,3,3,50000
2986,2,12,2023,64,P,128,6,6,20000
2338,31,5,2023,67,L,840,8,8,50000
9576,19,3,2023,55,L,726,4,3,50000
3250,18,4,2023,23,P,308,4,3,20000
9986,30,6,2023,44,P,376,18,5,10000
5308,10,12,2022,39,P,399,1,10,40000
3767,8,9,2022,45,P,638,8,11,10000
5027,27,10,2023,57,L,300,8,2,10000
8783,10,10,2023,72,L,45,16,7,40000
6374,30,8,2024,30,L,635,20,11,40000
9065,1,10,2024,60,L,223,15,9,30000
6344,20,2,2024,32,P,118,10,10,20000
275,9,1,2022,21,P,992,14,9,20000
2086,30,12,2024,53,P,328,20,10,40000
3316,30,8,2023,74,P,157,11,10,10000
1621,24,7,2022,37,P,448,12,7,30000
2042,20,12,2022,26,L,164,6,14,40000
3344,1,1,2022,64,P,793,19,3,10000
9995,26,9,2022,38,P,956,18,4,10000
3137,18,5,2022,35,P,513,3,13,20000
1979,21,11,2022,28,L,534,7,13,50000
6622,23,10,2022,80,L,650,19,6,40000
6380,25,9,2024,35,P,819,17,3,30000
9005,25,4,2023,30,P,176,1,1,40000
6557,8,3,2023,33,L,450,3,12,30000
8280,20,9,2023,55,P,878,6,10,50000
9805,4,7,2023,28,L,301,15,6,10000
2670,28,2,2022,24,L,167,5,7,40000
4610,30,10,2023,69,P,179,19,3,50000
3819,21,5,2022,65,L,843,1,1,40000
521,17,2,2022,66,P,349,18,6,20000
1479,24,1,2022,48,L,987,2,12,30000
7461,14,10,2023,28,L,579,14,11,50000
2867,12,7,2023,28,P,708,14,4,20000
9962,5,11,2024,29,P,605,14,13,50000
4281,20,8,2023,45,L,592,11,11,50000
4152,31,6,2024,45,P,163,15,13,20000
6191,16,6,2022,62,L,28,14,4,20000
9769,18,8,2024,26,P,874,13,7,40000
4321,15,6,2024,58,P,223,1,1,30000
2615,18,4,2023,35,L,825,19,6,20000
3018,18,9,2022,73,L,329,16,6,50000
8675,5,4,2022,76,L,888,7,12,10000
4555,14,7,2022,67,L,872,14,6,10000
7978,26,1,2022,46,L,971,13,5,40000
9813,31,10,2024,39,L,179,3,9,30000
4924,11,12,2022,79,L,728,12,2,30000
8610,1,11,2022,43,L,973,13,11,20000
4799,29,8,2022,69,P,482,18,9,30000
9220,5,7,2022,35,L,516,8,7,50000
8145,25,11,2023,78,P,372,13,12,40000
818,6,3,2022,29,P,784,7,14,30000
2640,15,3,2023,39,L,910,3,10,10000
827,26,9,2023,51,P,878,9,5,50000
5206,2,7,2024,47,L,265,4,14,20000
9197,5,2,2023,80,L,670,2,5,10000
7048,20,5,2024,44,P,965,17,6,30000
606,21,12,2024,49,L,180,2,8,20000
6728,1,3,2022,67,L,182,3,7,20000
7524,3,5,2024,53,P,67,17,4,10000
7264,23,7,2024,67,P,31,16,6,20000
1981,20,1,2024,66,P,418,9,4,10000
8622,15,1,2024,47,P,447,18,11,40000
7301,6,5,2024,79,L,64,9,2,50000
8617,29,10,2024,64,L,820,9,8,40000
8236,13,7,2023,25,L,205,19,6,50000
4704,10,3,2023,31,P,793,8,14,40000
6658,14,1,2024,37,P,454,15,1,10000
8267,27,2,2024,74,L,474,19,9,40000
7649,31,8,2022,27,L,417,20,12,50000
8351,30,3,2024,42,P,884,17,12,40000
6055,25,10,2022,30,P,195,16,1,20000
4346,2,3,2023,46,L,698,4,2,10000
9956,18,12,2024,34,L,477,3,14,30000
5217,13,8,2023,35,P,782,8,9,20000
567,23,4,2022,65,L,863,6,8,30000
2798,30,3,2024,52,L,955,15,12,40000
3293,18,11,2024,62,P,387,2,7,10000
8942,8,2,2022,70,L,542,9,11,10000
4211,25,2,2024,56,L,266,2,9,50000
4442,8,10,2023,74,L,281,5,10,50000
1107,15,2,2023,53,P,41,3,7,10000
8242,28,7,2024,74,L,635,15,2,50000
2464,27,9,2024,69,L,610,1,6,30000
7725,3,12,2024,43,P,911,11,11,30000
2746,19,5,2022,41,L,821,11,7,30000
8892,15,2,2023,38,L,310,11,9,40000
3730,22,6,2022,31,P,330,10,5,30000
3642,24,6,2022,50,L,713,6,11,50000
8882,16,7,2024,55,P,780,7,4,10000
2356,13,9,2023,57,P,709,18,5,10000
1594,15,5,2023,29,P,529,20,7,30000
4531,18,1,2023,52,L,547,1,1,10000
6972,22,5,2023,48,L,759,20,8,10000
3562,15,6,2022,78,L,816,5,4,20000
9843,28,4,2024,68,L,584,13,3,20000
8217,29,11,2022,47,L,543,3,3,30000
8039,7,10,2022,70,P,287,11,10,30000
2041,6,10,2024,44,P,115,10,6,10000
5953,16,7,2024,29,P,15,8,11,40000
3898,20,4,2022,25,L,944,12,9,20000
9263,12,11,2023,32,L,641,15,12,40000
1001,27,10,2024,40,L,833,19,10,50000
4703,4,5,2022,42,L,48,19,3,40000
9735,28,1,2023,39,L,208,6,1,50000
1681,29,2,2023,51,L,572,15,12,10000
7719,11,3,2022,30,L,486,14,2,30000
6713,22,2,2023,34,L,612,16,10,50000
7324,2,4,2024,58,P,510,19,13,30000
7349,25,9,2024,32,L,627,15,6,40000
3242,8,8,2024,44,L,89,9,3,40000
8473,16,10,2022,67,P,446,7,6,20000
7231,2,8,2023,70,L,86,1,1,10000
6063,31,8,2023,68,P,135,4,7,20000
3745,20,5,2024,78,P,982,15,4,10000
2651,3,1,2022,49,L,344,7,12,40000
106,18,1,2022,79,P,336,14,5,20000
6412,18,7,2022,80,L,565,5,1,50000
788,18,10,2023,30,L,559,9,10,50000
1568,20,6,2023,77,P,796,18,13,40000
1610,11,6,2022,61,P,990,9,3,50000
808,22,2,2024,33,P,9,2,2,30000
2997,22,7,2024,43,P,438,7,6,30000
4059,20,3,2024,30,L,490,3,7,40000
6442,9,5,2024,41,L,463,4,14,30000
614,9,4,2024,57,P,230,1,8,40000
4014,22,8,2022,39,L,852,9,9,30000
5914,27,3,2023,44,L,529,17,2,20000
6033,19,11,2023,66,L,494,1,11,10000
3836,14,9,2024,42,P,908,12,11,50000
4583,6,10,2024,27,P,703,11,3,10000
3536,24,12,2024,34,P,120,15,5,30000
8407,24,5,2023,43,P,826,9,9,10000
9397,11,9,2022,65,P,193,9,1,20000
6260,7,7,2022,45,L,185,14,9,20000
2019,3,4,2023,42,P,379,9,12,40000
8411,23,6,2022,69,P,991,14,1,10000
6882,16,8,2024,41,P,11,8,13,50000
6332,20,4,2024,47,P,187,18,8,40000
1121,5,2,2024,60,P,642,14,14,20000
6535,27,11,2024,67,P,22,18,3,10000
8937,5,5,2022,77,P,604,12,12,30000
4325,18,7,2024,62,L,432,9,2,10000
7707,22,11,2022,63,P,600,18,1,50000
9762,28,9,2023,46,P,993,7,1,40000
1714,26,2,2024,60,L,181,18,8,50000
2609,15,4,2024,71,P,969,5,8,20000
9906,11,11,2022,76,P,941,4,5,50000
5668,10,9,2024,37,P,118,11,1,20000
894,6,3,2023,64,P,153,7,11,20000
2880,29,4,2024,25,L,745,6,2,10000
8816,17,2,2024,60,L,322,13,4,50000
5313,23,1,2023,71,P,698,1,6,20000
3020,7,12,2024,60,P,42,20,12,20000
8664,5,10,2023,54,L,566,19,8,20000
3342,30,12,2022,36,P,890,6,3,40000
1595,19,4,2022,40,P,700,7,4,30000
1846,21,10,2023,41,P,346,5,8,50000
9856,10,5,2023,28,P,191,2,7,10000
4482,27,5,2023,41,P,439,11,6,30000
1960,19,4,2024,73,L,83,6,4,50000
4183,16,5,2024,68,L,318,11,13,50000
3389,8,3,2023,31,P,361,15,1,30000
8423,13,8,2022,55,L,574,9,5,10000
9330,3,12,2023,38,P,617,8,5,40000
7548,11,8,2024,69,P,345,7,8,30000
2719,16,10,2022,27,P,187,16,1,50000
460,20,2,2024,76,P,127,10,4,20000
1971,6,8,2022,51,P,64,5,6,30000
9664,15,5,2022,56,P,437,12,11,30000
8419,7,9,2023,75,L,454,9,6,40000
4498,1,5,2022,34,L,87,3,4,10000
3887,31,12,2023,21,L,836,9,1,30000
7510,4,12,2023,56,L,857,2,14,20000
7840,9,1,2024,72,P,184,10,14,30000
9046,20,10,2023,65,P,672,13,11,10000
1797,13,1,2023,30,L,754,2,6,30000
204,5,2,2024,63,L,416,2,6,50000
2279,11,5,2024,24,P,407,17,6,50000
3543,7,7,2024,35,P,306,14,2,20000
4904,15,10,2023,22,P,540,6,3,10000
7993,8,6,2024,39,P,974,8,7,10000
1549,21,9,2023,67,P,303,12,6,30000
6242,18,9,2022,70,P,393,5,11,40000
1095,23,8,2023,72,P,933,15,12,30000
6942,9,11,2023,36,P,340,3,10,30000
1243,18,12,2023,59,L,643,3,12,10000
956,13,2,2023,76,P,896,20,7,20000
7405,25,4,2023,29,P,242,6,1,40000
1705,20,6,2024,22,P,978,7,14,30000
8355,25,8,2024,36,L,185,10,5,20000
6538,21,1,2022,64,P,943,16,12,30000
5808,18,10,2023,28,P,112,4,9,40000
3568,1,12,2023,43,P,378,1,2,50000
2932,11,5,2024,80,P,627,19,3,40000
1669,7,12,2023,77,L,734,2,7,10000
1893,16,1,2024,32,P,351,8,4,30000
6183,22,5,2024,63,L,266,9,10,10000
6119,28,10,2022,72,L,61,5,6,50000
6363,1,10,2022,38,P,824,11,13,10000
2749,7,4,2023,44,P,884,11,12,10000
7633,25,1,2024,61,L,361,11,6,40000
2136,12,11,2024,59,P,174,16,8,10000
2851,13,7,2023,32,P,786,12,9,20000
9178,23,9,2024,30,L,428,16,6,20000
8465,8,6,2023,58,L,447,19,5,50000
750,8,10,2022,76,L,557,6,11,50000
4720,6,8,2023,26,L,13,14,12,30000
4725,26,8,2024,44,L,208,8,13,30000
3202,6,6,2022,60,P,122,19,12,30000
1148,9,3,2023,67,L,714,9,13,20000
5531,31,5,2023,44,L,27,7,14,30000
8799,19,7,2024,31,P,267,10,10,50000
1711,29,12,2024,24,L,839,7,2,50000
8133,5,9,2023,74,P,871,2,12,10000
5109,4,9,2023,34,P,523,15,12,50000
4278,8,2,2023,75,L,504,19,5,30000
9434,28,7,2024,55,L,670,1,6,40000
5400,30,5,2023,33,L,668,4,14,50000
2103,12,4,2023,39,L,704,18,7,10000
9210,27,12,2022,30,L,735,7,12,10000
5319,12,1,2024,66,P,870,15,13,30000
3993,9,6,2022,55,P,894,1,8,20000
8197,17,9,2023,39,L,555,1,5,10000
5794,21,4,2022,60,P,983,17,8,40000
7676,25,6,2022,79,L,916,12,1,40000
5907,9,9,2024,43,P,298,20,8,40000
4869,30,5,2023,33,L,614,16,2,40000
1771,21,12,2023,60,L,186,8,7,10000
1246,12,5,2023,59,P,974,9,4,40000
7623,25,1,2024,38,P,697,11,4,10000
4913,20,4,2023,67,P,376,10,3,10000
5423,18,11,2022,60,P,235,10,7,40000
298,11,4,2022,35,P,340,5,1,50000
8769,11,7,2023,74,P,104,19,9,50000
5064,18,6,2024,51,L,820,1,10,50000
1501,2,12,2024,35,L,406,20,3,30000
9681,2,4,2024,28,L,663,17,9,50000
1418,30,10,2022,25,P,605,14,2,40000
5517,7,7,2024,47,L,336,18,8,10000
1083,21,12,2024,80,L,362,8,8,20000
5295,31,10,2022,41,P,252,11,9,30000
6386,9,12,2023,80,P,500,7,12,40000
7934,12,12,2023,35,L,789,4,7,40000
5697,22,4,2023,46,L,512,14,3,50000
1572,1,1,2024,33,L,895,10,5,20000
362,29,3,2024,59,P,385,5,11,30000
2747,29,12,2023,73,P,47,3,9,50000
3326,26,4,2024,68,P,75,5,4,40000
4965,22,9,2023,64,P,539,4,1,10000
2285,5,6,2023,23,P,274,2,1,20000
3085,15,4,2022,24,L,658,13,12,10000
7684,21,9,2024,30,P,351,14,13,30000
3573,6,2,2022,58,L,704,18,7,10000
9318,3,1,2024,25,P,988,8,14,50000
6459,25,5,2022,68,L,778,6,5,40000
9666,16,10,2024,41,L,785,12,13,20000
7284,31,9,2024,50,P,305,11,2,20000
1463,25,11,2022,25,P,610,12,9,50000
7544,21,5,2022,31,L,508,14,3,20000
2008,15,11,2024,26,P,375,19,4,10000
7766,19,4,2024,37,L,272,19,7,10000
4624,9,4,2024,34,P,309,20,3,40000
3343,11,2,2022,74,P,214,19,1,30000
9304,14,9,2024,53,P,313,14,8,30000
5321,18,3,2023,39,L,875,17,7,10000
1560,6,12,2022,80,L,490,5,5,20000
4051,4,12,2024,58,L,964,10,1,40000
7423,24,2,2022,78,P,95,14,3,30000
4204,28,2,2024,73,P,869,4,9,40000
1991,7,8,2023,66,P,592,17,13,20000
9123,7,11,2024,72,L,666,9,8,40000
5849,5,11,2022,42,P,476,16,7,10000
5909,21,5,2022,70,L,689,5,13,10000
2551,2,8,2023,69,L,702,10,8,20000
4690,9,7,2023,54,P,295,4,11,40000
8004,7,12,2024,55,L,24,7,12,10000
3958,26,5,2024,79,L,614,13,7,40000
3123,15,11,2022,31,P,306,8,2,10000
5410,9,1,2022,29,L,973,2,1,50000
4936,27,8,2022,28,P,205,1,8,20000
8291,24,2,2024,78,L,582,20,7,20000
6616,9,11,2024,52,L,769,3,7,30000
1148,19,1,2024,58,P,785,8,11,50000
2293,7,4,2024,29,L,131,10,4,20000
687,2,7,2024,76,L,311,9,14,50000
7771,2,2,2022,64,L,847,16,6,30000
9500,23,7,2023,77,L,803,14,9,20000
4703,7,10,2022,80,P,855,17,11,30000
9465,29,10,2024,65,L,586,13,14,50000
1857,19,8,2023,76,P,816,1,6,20000
9650,23,5,2024,23,P,695,18,6,50000
7239,22,4,2022,31,P,938,3,1,20000
8621,11,11,2023,71,P,605,18,6,50000
3295,30,7,2023,66,P,955,20,7,50000
5079,24,9,2022,64,P,979,2,8,30000
4009,10,8,2023,23,P,684,4,7,50000
7601,1,9,2022,63,P,122,4,2,40000
343,20,8,2023,47,P,818,16,9,40000
9536,2,3,2023,60,L,672,4,12,40000
3841,6,10,2024,22,P,667,17,8,30000
6284,17,4,2023,56,L,719,9,13,10000
1704,12,6,2022,35,L,991,3,1,40000
4026,25,4,2024,47,L,490,6,6,10000
1571,26,9,2023,35,L,680,8,6,20000
2911,5,11,2023,77,L,708,4,1,50000
7932,26,6,2024,21,P,17,16,14,20000
2210,9,4,2023,56,L,141,3,13,20000
8861,22,3,2024,25,P,875,8,10,20000
9871,18,9,2022,64,P,828,19,6,50000
5381,2,7,2022,23,P,356,17,7,30000
6754,12,12,2023,73,L,77,2,14,50000
4963,2,7,2024,67,P,77,3,8,10000
3048,20,1,2024,21,P,680,18,12,40000
9857,2,4,2022,62,P,293,17,14,10000
2599,18,4,2023,75,P,516,2,5,20000
4328,27,11,2023,80,P,904,19,1,30000
621,10,1,2022,55,L,83,20,14,30000
4094,27,11,2022,71,P,52,3,14,20000
6407,24,10,2023,39,P,647,5,6,40000
6863,16,3,2022,70,L,722,7,9,30000
4565,18,9,2022,51,P,379,14,8,50000
359,4,8,2024,76,L,933,16,9,30000
5597,24,12,2022,60,P,123,11,4,20000
4014,6,7,2023,57,P,537,12,7,10000
6965,16,9,2024,59,L,814,8,7,50000
1429,23,4,2023,75,L,563,15,7,10000
2840,29,3,2024,35,L,471,7,8,30000
3537,9,6,2023,36,L,48,7,9,10000
5041,6,1,2024,64,L,21,4,11,40000
4926,7,9,2023,62,L,830,1,9,10000
3253,9,7,2024,32,P,739,17,10,20000
1834,9,2,2023,79,P,847,17,11,10000
