Hari,Tanggal,Jam,Modal,Pembelian,Barang,Transaksi,Jumlah,Penjualan,Keuntungan
Selasa,6,3,600.000,234,gula,383,947,256,200.000
Selasa,16,4,400.000,409,susu,313,745,256,130.000
Minggu,28,8,600.000,109,gula,313,483,123,130.000
Selasa,10,1,400.000,322,snack,321,354,441,130.000
Senin,25,8,400.000,178,susu,349,401,327,100.000
Senin,29,0,400.000,233,snack,337,65,344,150.000
Minggu,22,9,500.000,303,beras,332,828,358,130.000
Minggu,15,0,700.000,379,gula,394,731,472,150.000
Minggu,3,0,400.000,388,gula,396,541,159,130.000
Jumat,15,11,700.000,492,telur,337,517,183,130.000
Selasa,21,11,700.000,179,snack,390,977,166,150.000
Sabtu,5,9,400.000,230,susu,380,529,234,100.000
Senin,8,7,1.000.000,478,beras,371,20,295,150.000
Jumat,7,11,700.000,354,telur,329,912,106,150.000
Selasa,15,8,700.000,126,gula,315,660,342,130.000
Minggu,21,1,500.000,280,beras,307,561,226,200.000
Selasa,24,5,700.000,447,snack,301,30,216,130.000
Kamis,17,4,1.000.000,471,gula,374,385,447,100.000
Minggu,15,6,1.000.000,369,gula,343,988,219,150.000
Sabtu,20,4,400.000,240,gula,335,340,352,130.000
Kamis,15,9,1.000.000,495,snack,348,790,402,100.000
Senin,10,4,600.000,386,gula,344,859,163,130.000
Selasa,5,5,500.000,153,snack,317,281,481,130.000
Rabu,25,4,1.000.000,308,susu,378,784,365,100.000
Kamis,29,5,700.000,262,telur,305,659,373,150.000
Jumat,11,8,500.000,428,beras,337,118,168,100.000
Sabtu,26,9,600.000,430,gula,313,827,368,130.000
Senin,26,8,400.000,261,beras,310,414,446,150.000
Minggu,21,9,600.000,185,beras,386,758,430,100.000
Sabtu,18,8,1.000.000,366,beras,386,928,198,200.000
Rabu,17,3,400.000,305,susu,339,342,484,130.000
Jumat,13,0,500.000,333,susu,310,599,172,100.000
Kamis,5,9,500.000,392,beras,303,51,195,100.000
Kamis,14,3,700.000,412,gula,382,212,201,130.000
Minggu,12,10,700.000,428,snack,320,298,374,200.000
Senin,23,6,700.000,245,beras,398,202,217,100.000
Selasa,27,3,500.000,415,telur,388,448,415,100.000
Rabu,26,9,500.000,305,gula,314,895,150,150.000
Senin,24,1,700.000,462,telur,373,631,190,200.000
Minggu,2,1,400.000,199,snack,319,481,263,200.000
Rabu,10,0,600.000,423,telur,375,633,349,100.000
Jumat,28,8,400.000,258,susu,392,418,371,130.000
Sabtu,5,8,1.000.000,404,gula,393,662,220,100.000
Sabtu,22,6,700.000,118,susu,347,606,292,150.000
Senin,19,4,600.000,346,beras,363,464,149,200.000
Selasa,29,7,500.000,446,snack,362,287,320,200.000
Senin,14,7,500.000,285,beras,357,628,345,100.000
Minggu,20,10,400.000,248,telur,397,203,288,200.000
Rabu,3,6,400.000,447,gula,391,588,482,200.000
Jumat,3,9,600.000,204,gula,331,756,145,130.000
Senin,4,8,500.000,339,gula,315,714,328,200.000
Senin,5,7,500.000,115,telur,391,63,338,100.000
Jumat,7,2,500.000,325,telur,373,321,327,200.000
Jumat,28,5,700.000,361,susu,336,127,449,200.000
Rabu,23,10,400.000,143,susu,346,843,213,130.000
Senin,27,4,700.000,215,gula,304,300,398,150.000
Kamis,18,2,600.000,361,telur,318,278,263,200.000
Kamis,11,10,400.000,456,snack,318,841,371,100.000
Minggu,26,7,400.000,272,gula,372,445,310,150.000
Selasa,3,2,600.000,185,telur,332,836,273,200.000
Minggu,15,0,1.000.000,233,beras,341,25,156,200.000
Sabtu,10,5,500.000,115,snack,318,176,351,150.000
Kamis,27,1,1.000.000,134,telur,354,209,401,200.000
Jumat,22,4,500.000,208,snack,317,871,245,150.000
Sabtu,15,9,1.000.000,354,beras,343,89,398,100.000
Senin,19,8,600.000,144,snack,382,150,246,150.000
Jumat,17,7,400.000,299,gula,353,213,345,200.000
Sabtu,11,4,600.000,164,gula,390,8,122,150.000
Jumat,28,1,700.000,305,susu,322,160,248,200.000
Sabtu,17,4,1.000.000,123,snack,385,166,212,200.000
Sabtu,3,8,500.000,426,gula,369,18,297,150.000
Minggu,30,3,700.000,363,snack,360,176,227,130.000
Rabu,13,8,400.000,127,snack,318,248,169,100.000
Rabu,7,9,1.000.000,122,beras,334,94,370,130.000
Minggu,8,0,700.000,497,gula,380,630,449,130.000
Jumat,19,1,600.000,193,susu,344,722,385,100.000
Sabtu,28,1,600.000,327,beras,350,601,186,200.000
Senin,19,4,400.000,299,telur,303,907,192,100.000
Minggu,5,11,600.000,191,beras,327,742,453,200.000
Senin,12,11,1.000.000,386,snack,383,781,108,200.000
Sabtu,14,6,500.000,456,snack,345,1,415,100.000
Selasa,12,8,500.000,489,gula,322,374,172,150.000
Rabu,3,1,700.000,219,snack,361,212,157,100.000
Kamis,3,10,1.000.000,235,gula,337,619,163,100.000
Minggu,24,0,500.000,465,telur,333,217,386,200.000
Kamis,2,1,400.000,232,telur,385,70,177,150.000
Senin,5,6,500.000,401,snack,371,508,229,150.000
Sabtu,5,6,500.000,394,susu,320,167,471,130.000
Kamis,28,4,1.000.000,195,snack,313,722,416,150.000
Sabtu,11,5,600.000,482,telur,374,683,450,130.000
Selasa,7,9,700.000,182,susu,347,513,436,130.000
Sabtu,28,2,600.000,362,telur,323,404,434,200.000
Kamis,25,8,400.000,197,susu,324,613,243,200.000
Sabtu,8,2,400.000,282,beras,377,641,389,150.000
Senin,17,11,600.000,193,gula,307,170,246,150.000
Kamis,4,4,600.000,265,telur,354,12,283,100.000
Senin,17,11,600.000,195,susu,317,434,497,130.000
Sabtu,2,6,1.000.000,449,susu,366,787,281,150.000
Kamis,1,7,400.000,311,gula,314,113,449,130.000
Selasa,8,9,1.000.000,114,beras,355,508,239,200.000
Sabtu,6,3,700.000,189,susu,385,123,351,150.000
Sabtu,18,6,700.000,126,susu,397,604,231,130.000
Minggu,8,11,500.000,266,beras,320,918,462,150.000
Minggu,12,4,1.000.000,175,snack,331,777,334,130.000
Jumat,29,1,700.000,460,snack,334,530,242,130.000
Senin,18,11,700.000,378,susu,324,768,382,150.000
Selasa,10,2,500.000,455,beras,310,678,112,150.000
Kamis,22,3,700.000,188,snack,393,43,209,200.000
Senin,10,1,1.000.000,253,telur,385,116,133,130.000
Rabu,28,9,500.000,342,telur,365,476,175,130.000
Selasa,22,6,400.000,164,snack,368,645,209,100.000
Rabu,7,4,700.000,103,beras,318,337,214,200.000
Rabu,18,9,1.000.000,199,gula,343,609,388,130.000
Sabtu,25,1,700.000,417,susu,338,480,205,200.000
Kamis,9,8,1.000.000,416,susu,354,698,382,150.000
Sabtu,11,10,500.000,359,snack,383,343,422,100.000
Jumat,8,9,500.000,216,snack,382,224,277,200.000
Rabu,28,9,400.000,336,gula,391,414,491,100.000
Minggu,15,4,1.000.000,262,susu,310,986,113,150.000
Sabtu,19,7,400.000,118,beras,337,801,376,130.000
Rabu,21,3,600.000,136,beras,370,100,305,200.000
Senin,17,2,400.000,120,susu,322,777,475,100.000
Senin,7,6,700.000,387,gula,340,751,448,200.000
Minggu,28,9,1.000.000,117,gula,333,296,205,130.000
Jumat,5,11,700.000,452,beras,361,226,292,200.000
Senin,10,7,1.000.000,276,beras,314,175,370,150.000
Rabu,20,5,1.000.000,234,beras,336,891,300,150.000
Sabtu,14,2,400.000,137,snack,324,511,398,100.000
Senin,7,8,400.000,391,susu,365,304,206,100.000
Minggu,1,2,1.000.000,171,telur,309,136,215,150.000
Minggu,25,6,600.000,308,snack,399,937,145,150.000
Jumat,4,5,700.000,229,gula,377,917,386,200.000
Rabu,9,6,400.000,142,beras,345,290,404,200.000
Rabu,2,10,400.000,366,gula,350,100,129,100.000
Rabu,25,3,500.000,495,telur,308,304,430,100.000
Rabu,11,7,1.000.000,241,gula,322,702,429,100.000
Senin,11,5,600.000,425,gula,369,301,481,150.000
Selasa,30,11,500.000,115,snack,319,729,299,100.000
Selasa,15,5,500.000,138,snack,313,313,253,100.000
Selasa,30,5,500.000,379,telur,361,141,215,100.000
Selasa,16,8,400.000,446,gula,352,994,345,150.000
Rabu,5,6,500.000,437,gula,348,576,304,130.000
Selasa,24,6,700.000,179,susu,396,711,428,150.000
Sabtu,4,2,400.000,498,telur,322,220,492,100.000
Sabtu,24,6,500.000,157,telur,308,57,127,200.000
Sabtu,24,3,700.000,413,snack,378,790,159,100.000
Kamis,13,11,400.000,184,snack,339,141,165,130.000
Minggu,23,5,500.000,434,snack,360,556,102,130.000
Selasa,9,6,1.000.000,443,susu,318,175,209,200.000
Senin,18,4,400.000,423,gula,379,119,411,100.000
Kamis,1,2,400.000,465,beras,380,636,396,100.000
Senin,9,7,400.000,175,telur,304,158,331,100.000
Jumat,12,9,500.000,331,telur,363,792,120,130.000
Kamis,21,8,1.000.000,359,susu,391,707,159,200.000
Kamis,8,9,600.000,359,gula,347,675,208,130.000
Minggu,7,11,1.000.000,367,susu,381,343,493,200.000
Kamis,10,11,400.000,358,beras,389,8,146,130.000
Jumat,29,1,1.000.000,211,beras,370,497,478,130.000
Jumat,9,4,700.000,234,susu,308,716,328,200.000
Kamis,9,3,600.000,126,telur,378,482,406,200.000
Rabu,25,7,600.000,233,beras,324,406,445,200.000
Jumat,15,11,1.000.000,162,susu,370,967,155,100.000
Selasa,13,9,700.000,420,gula,334,640,362,100.000
Senin,20,4,600.000,128,gula,310,3,233,100.000
Selasa,10,1,700.000,272,telur,378,940,364,130.000
Senin,5,11,600.000,263,susu,360,908,368,100.000
Rabu,17,2,400.000,221,beras,372,215,411,150.000
Jumat,14,7,400.000,216,susu,366,167,158,100.000
Rabu,3,9,500.000,206,telur,386,580,115,130.000
Minggu,7,4,600.000,139,susu,341,623,410,150.000
Kamis,21,5,700.000,392,beras,350,444,107,130.000
Jumat,9,3,400.000,466,susu,323,928,232,150.000
Selasa,22,5,600.000,243,snack,396,978,189,150.000
Jumat,19,9,500.000,451,snack,304,529,429,150.000
Sabtu,2,2,1.000.000,228,telur,373,440,188,100.000
Kamis,25,4,1.000.000,240,telur,363,816,163,150.000
Jumat,22,4,400.000,277,snack,322,423,315,100.000
Jumat,15,5,1.000.000,411,snack,397,647,203,100.000
Minggu,10,6,600.000,465,gula,320,375,248,150.000
Rabu,18,3,700.000,282,susu,338,236,449,100.000
Senin,2,4,1.000.000,259,gula,360,97,209,200.000
Minggu,17,7,1.000.000,398,beras,328,136,216,150.000
Minggu,22,11,1.000.000,119,gula,378,512,296,150.000
Jumat,4,3,400.000,105,beras,361,792,322,100.000
Minggu,29,0,400.000,465,beras,372,749,445,130.000
Rabu,16,0,700.000,190,telur,333,911,292,150.000
Minggu,16,0,500.000,393,snack,396,460,221,200.000
Selasa,28,0,1.000.000,363,snack,323,247,158,100.000
Jumat,23,7,500.000,270,telur,367,41,477,130.000
Senin,7,5,700.000,266,beras,318,783,146,150.000
Sabtu,21,3,1.000.000,354,beras,313,542,443,130.000
Rabu,27,7,500.000,136,telur,372,833,204,100.000
Jumat,16,3,500.000,461,gula,367,296,161,100.000
Rabu,18,0,500.000,290,snack,344,690,139,150.000
Kamis,11,7,1.000.000,196,beras,326,35,259,200.000
Sabtu,1,2,600.000,240,snack,348,732,214,150.000
Sabtu,5,1,700.000,333,gula,370,930,164,130.000
Kamis,9,5,1.000.000,398,snack,333,528,337,100.000
Rabu,10,11,600.000,404,beras,327,476,120,100.000
Minggu,8,2,700.000,252,gula,337,847,494,130.000
Senin,23,11,600.000,325,snack,364,799,423,200.000
Selasa,22,0,500.000,330,snack,399,153,209,200.000
Jumat,28,8,600.000,147,telur,308,455,272,130.000
Selasa,9,6,1.000.000,288,snack,373,569,272,130.000
Selasa,29,8,1.000.000,455,telur,385,605,317,130.000
Sabtu,5,9,400.000,417,beras,368,175,418,150.000
Kamis,28,2,400.000,211,gula,394,312,401,130.000
Rabu,11,7,400.000,275,telur,370,281,276,130.000
Minggu,29,8,600.000,499,beras,390,831,147,150.000
Senin,11,3,600.000,316,susu,375,533,339,100.000
Senin,22,6,500.000,310,telur,370,960,430,130.000
Rabu,11,11,400.000,245,snack,357,961,280,150.000
Kamis,26,4,1.000.000,295,snack,346,30,277,200.000
Rabu,16,3,600.000,491,beras,356,547,370,200.000
Selasa,12,7,700.000,252,beras,326,644,340,130.000
Selasa,30,1,400.000,201,susu,386,307,314,100.000
Sabtu,28,1,500.000,435,gula,326,249,172,200.000
Rabu,7,0,700.000,310,beras,302,604,409,100.000
Rabu,3,7,1.000.000,447,telur,382,701,193,200.000
Minggu,12,3,1.000.000,417,susu,336,485,183,130.000
Jumat,3,5,400.000,444,telur,389,125,321,130.000
Jumat,20,9,1.000.000,230,beras,309,916,267,100.000
Jumat,23,5,1.000.000,256,susu,362,826,165,200.000
Sabtu,14,8,700.000,486,gula,347,589,175,150.000
Selasa,29,11,500.000,128,susu,379,730,206,200.000
Sabtu,25,8,1.000.000,285,telur,307,486,202,150.000
Rabu,11,5,400.000,487,susu,363,297,354,130.000
Sabtu,12,9,700.000,423,gula,396,154,299,130.000
Sabtu,20,11,700.000,243,gula,381,980,149,150.000
Rabu,23,9,600.000,108,telur,378,978,440,150.000
Jumat,5,11,1.000.000,397,snack,356,43,328,200.000
Rabu,25,0,700.000,224,snack,367,711,240,100.000
Sabtu,21,1,1.000.000,182,susu,306,21,437,150.000
Kamis,8,5,1.000.000,144,gula,307,121,174,150.000
Senin,13,0,400.000,154,beras,339,852,409,200.000
Rabu,6,0,700.000,430,susu,324,847,206,200.000
Rabu,18,10,600.000,306,gula,337,627,348,100.000
Senin,24,8,500.000,148,susu,398,171,210,150.000
Rabu,11,10,1.000.000,235,susu,395,309,246,100.000
Senin,29,10,400.000,159,gula,327,934,287,130.000
Minggu,14,5,600.000,247,beras,368,515,286,100.000
Sabtu,13,6,400.000,103,beras,313,522,196,200.000
Sabtu,27,9,1.000.000,306,susu,304,111,133,130.000
Senin,14,4,700.000,231,telur,365,493,288,150.000
Rabu,3,2,1.000.000,409,telur,376,223,272,100.000
Kamis,18,10,1.000.000,425,susu,338,27,235,150.000
Sabtu,11,10,1.000.000,295,telur,326,382,476,150.000
Jumat,22,4,400.000,272,beras,367,620,360,100.000
Rabu,9,9,400.000,303,telur,385,769,377,130.000
Senin,11,2,700.000,394,susu,365,594,491,200.000
Selasa,2,5,700.000,380,beras,374,28,160,130.000
Selasa,11,6,500.000,185,telur,309,582,427,100.000
Sabtu,25,11,1.000.000,286,telur,368,799,144,130.000
Sabtu,24,3,1.000.000,479,snack,314,599,236,150.000
Senin,19,4,1.000.000,414,susu,341,792,383,150.000
Rabu,22,2,500.000,379,telur,301,560,101,130.000
Jumat,27,6,600.000,238,susu,334,465,216,130.000
Sabtu,11,6,1.000.000,313,susu,303,866,356,130.000
Jumat,21,7,500.000,111,susu,357,959,226,100.000
Kamis,6,2,1.000.000,191,susu,381,39,380,100.000
Rabu,28,2,700.000,380,gula,373,315,468,100.000
Sabtu,28,8,400.000,227,gula,360,482,228,200.000
Jumat,2,9,700.000,225,susu,305,734,108,200.000
Minggu,15,2,600.000,364,susu,367,406,450,100.000
Kamis,24,4,400.000,419,snack,341,718,205,150.000
Rabu,14,0,600.000,181,beras,363,69,340,100.000
Selasa,29,9,500.000,431,snack,334,992,251,150.000
Kamis,2,9,1.000.000,116,beras,373,336,411,200.000
Rabu,5,8,700.000,194,telur,346,764,488,200.000
Kamis,22,6,600.000,464,susu,364,542,412,130.000
Kamis,13,9,600.000,481,susu,381,969,235,150.000
Selasa,8,1,1.000.000,398,snack,327,937,288,200.000
Jumat,25,3,500.000,472,snack,353,246,113,200.000
Minggu,24,6,700.000,285,beras,340,931,301,200.000
Rabu,19,4,400.000,453,snack,318,581,353,130.000
Sabtu,14,9,600.000,207,telur,301,786,192,200.000
Kamis,14,3,600.000,395,telur,302,336,332,200.000
Kamis,18,3,500.000,492,susu,374,218,182,100.000
Senin,22,4,500.000,487,beras,308,386,443,200.000
Sabtu,2,2,1.000.000,212,susu,378,585,186,130.000
Minggu,15,6,600.000,210,snack,378,537,191,200.000
Selasa,1,11,500.000,387,snack,305,483,109,200.000
Kamis,30,3,1.000.000,107,susu,331,656,312,200.000
Senin,18,2,600.000,259,telur,376,790,127,130.000
Minggu,30,7,600.000,482,telur,345,109,365,150.000
Kamis,22,2,500.000,124,susu,300,139,453,130.000
Rabu,8,5,1.000.000,147,snack,375,577,265,150.000
Minggu,26,0,700.000,157,beras,327,605,197,100.000
Sabtu,26,6,500.000,259,telur,348,469,494,150.000
Sabtu,25,0,700.000,138,beras,302,292,148,150.000
Selasa,30,11,1.000.000,193,telur,361,719,175,100.000
Kamis,14,9,400.000,345,telur,381,154,197,130.000
Jumat,14,9,700.000,486,telur,361,886,203,150.000
Minggu,16,9,1.000.000,392,telur,371,491,268,150.000
Sabtu,15,4,700.000,249,gula,363,330,190,100.000
